type	name	value	zone	address	bytes	access	other
Factory	TIM16_ARR	0x0	Memory	0x4001442c	4	readWrite	strong	
Factory	TIM16_RCR	0x0	Memory	0x40014430	4	readWrite	strong	
Factory	TIM16_CCR1	0x0	Memory	0x40014434	4	readWrite	strong	
Factory	TIM16_BDTR	0x0	Memory	0x40014444	4	readWrite	strong	
Factory	TIM16_DCR	0x0	Memory	0x40014448	4	readWrite	strong	
Factory	TIM16_DMAR	0x0	Memory	0x4001444c	4	readWrite	strong	
Factory	TIM16_OR	0x0	Memory	0x40014450	4	readWrite	strong	
Factory	TIM17_CR1	0x0	Memory	0x40014800	4	readWrite	strong	
Factory	TIM17_CR2	0x0	Memory	0x40014804	4	readWrite	strong	
Factory	TIM17_DIER	0x0	Memory	0x4001480c	4	readWrite	strong	
Factory	TIM17_SR	0x0	Memory	0x40014810	4	readWrite	strong	
Factory	TIM17_EGR	0x0	Memory	0x40014814	4	writeOnly	strong	
Factory	TIM17_CCMR1_Output	0x0	Memory	0x40014818	4	readWrite	strong	
Factory	TIM17_CCMR1_Input	0x0	Memory	0x40014818	4	readWrite	strong	
Factory	TIM17_CCER	0x0	Memory	0x40014820	4	readWrite	strong	
Factory	TIM17_CNT	0x0	Memory	0x40014824	4	readWrite	strong	
Factory	TIM17_PSC	0x0	Memory	0x40014828	4	readWrite	strong	
Factory	TIM17_ARR	0x0	Memory	0x4001482c	4	readWrite	strong	
Factory	TIM17_RCR	0x0	Memory	0x40014830	4	readWrite	strong	
Factory	TIM17_CCR1	0x0	Memory	0x40014834	4	readWrite	strong	
Factory	TIM17_BDTR	0x0	Memory	0x40014844	4	readWrite	strong	
Factory	TIM17_DCR	0x0	Memory	0x40014848	4	readWrite	strong	
Factory	TIM17_DMAR	0x0	Memory	0x4001484c	4	readWrite	strong	
Factory	USART1_CR1	0x0	Memory	0x40013800	4	readWrite	strong	
Factory	USART1_CR2	0x0	Memory	0x40013804	4	readWrite	strong	
Factory	USART1_CR3	0x0	Memory	0x40013808	4	readWrite	strong	
Factory	USART1_BRR	0x0	Memory	0x4001380c	4	readWrite	strong	
Factory	USART1_GTPR	0x0	Memory	0x40013810	4	readWrite	strong	
Factory	USART1_RTOR	0x0	Memory	0x40013814	4	readWrite	strong	
Factory	USART1_RQR	0x0	Memory	0x40013818	4	readWrite	strong	
Factory	USART1_ISR	0xc0	Memory	0x4001381c	4	readOnly	strong	
Factory	USART1_ICR	0x0	Memory	0x40013820	4	readWrite	strong	
Factory	USART1_RDR	0x0	Memory	0x40013824	4	readOnly	strong	
Factory	USART1_TDR	0x0	Memory	0x40013828	4	readWrite	strong	
Factory	USART2_CR1	0x0	Memory	0x40004400	4	readWrite	strong	
Factory	USART2_CR2	0x0	Memory	0x40004404	4	readWrite	strong	
Factory	USART2_CR3	0x0	Memory	0x40004408	4	readWrite	strong	
Factory	USART2_BRR	0x0	Memory	0x4000440c	4	readWrite	strong	
Factory	USART2_GTPR	0x0	Memory	0x40004410	4	readWrite	strong	
Factory	USART2_RTOR	0x0	Memory	0x40004414	4	readWrite	strong	
Factory	USART2_RQR	0x0	Memory	0x40004418	4	readWrite	strong	
Factory	USART2_ISR	0xc0	Memory	0x4000441c	4	readOnly	strong	
Factory	USART2_ICR	0x0	Memory	0x40004420	4	readWrite	strong	
Factory	USART2_RDR	0x0	Memory	0x40004424	4	readOnly	strong	
Factory	USART2_TDR	0x0	Memory	0x40004428	4	readWrite	strong	
Factory	USART3_CR1	0x0	Memory	0x40004800	4	readWrite	strong	
Factory	USART3_CR2	0x0	Memory	0x40004804	4	readWrite	strong	
Factory	USART3_CR3	0x0	Memory	0x40004808	4	readWrite	strong	
Factory	USART3_BRR	0x0	Memory	0x4000480c	4	readWrite	strong	
Factory	USART3_GTPR	0x0	Memory	0x40004810	4	readWrite	strong	
Factory	USART3_RTOR	0x0	Memory	0x40004814	4	readWrite	strong	
Factory	USART3_RQR	0x0	Memory	0x40004818	4	readWrite	strong	
Factory	USART3_ISR	0xc0	Memory	0x4000481c	4	readOnly	strong	
Factory	USART3_ICR	0x0	Memory	0x40004820	4	readWrite	strong	
Factory	USART3_RDR	0x0	Memory	0x40004824	4	readOnly	strong	
Factory	USART3_TDR	0x0	Memory	0x40004828	4	readWrite	strong	
Factory	SPI2_CR1	0x0	Memory	0x40003800	4	readWrite	strong	
Factory	SPI2_CR2	0x0	Memory	0x40003804	4	readWrite	strong	
Factory	SPI2_SR	0x0	Memory	0x40003808	4	readWrite	strong	
Factory	SPI2_DR	0x0	Memory	0x4000380c	4	readWrite	strong	
Factory	SPI2_CRCPR	0x0	Memory	0x40003810	4	readWrite	strong	
Factory	SPI2_RXCRCR	0x0	Memory	0x40003814	4	readOnly	strong	
Factory	SPI2_TXCRCR	0x0	Memory	0x40003818	4	readOnly	strong	
Factory	SPI2_I2SCFGR	0x0	Memory	0x4000381c	4	readWrite	strong	
Factory	SPI2_I2SPR	0x0	Memory	0x40003820	4	readWrite	strong	
Factory	I2S2ext_CR1	0x0	Memory	0x40003400	4	readWrite	strong	
Factory	I2S2ext_CR2	0x0	Memory	0x40003404	4	readWrite	strong	
Factory	I2S2ext_SR	0x0	Memory	0x40003408	4	readWrite	strong	
Factory	I2S2ext_DR	0x0	Memory	0x4000340c	4	readWrite	strong	
Factory	I2S2ext_CRCPR	0x0	Memory	0x40003410	4	readWrite	strong	
Factory	I2S2ext_RXCRCR	0x0	Memory	0x40003414	4	readOnly	strong	
Factory	I2S2ext_TXCRCR	0x0	Memory	0x40003418	4	readOnly	strong	
Factory	I2S2ext_I2SCFGR	0x0	Memory	0x4000341c	4	readWrite	strong	
Factory	I2S2ext_I2SPR	0x0	Memory	0x40003420	4	readWrite	strong	
Factory	I2S3ext_CR1	0x0	Memory	0x40004000	4	readWrite	strong	
Factory	I2S3ext_CR2	0x0	Memory	0x40004004	4	readWrite	strong	
Factory	I2S3ext_SR	0x0	Memory	0x40004008	4	readWrite	strong	
Factory	I2S3ext_DR	0x0	Memory	0x4000400c	4	readWrite	strong	
Factory	I2S3ext_CRCPR	0x0	Memory	0x40004010	4	readWrite	strong	
Factory	I2S3ext_RXCRCR	0x0	Memory	0x40004014	4	readOnly	strong	
Factory	I2S3ext_TXCRCR	0x0	Memory	0x40004018	4	readOnly	strong	
Factory	I2S3ext_I2SCFGR	0x0	Memory	0x4000401c	4	readWrite	strong	
Factory	I2S3ext_I2SPR	0x0	Memory	0x40004020	4	readWrite	strong	
Factory	SPI3_CR1	0x0	Memory	0x40003c00	4	readWrite	strong	
Factory	SPI3_CR2	0x0	Memory	0x40003c04	4	readWrite	strong	
Factory	SPI3_SR	0x0	Memory	0x40003c08	4	readWrite	strong	
Factory	SPI3_DR	0x0	Memory	0x40003c0c	4	readWrite	strong	
Factory	SPI3_CRCPR	0x0	Memory	0x40003c10	4	readWrite	strong	
Factory	SPI3_RXCRCR	0x0	Memory	0x40003c14	4	readOnly	strong	
Factory	SPI3_TXCRCR	0x0	Memory	0x40003c18	4	readOnly	strong	
Factory	SPI3_I2SCFGR	0x0	Memory	0x40003c1c	4	readWrite	strong	
